Reference, Value, Footprint, Datasheet, Cost, Date Created, Date Modified, Designer, Height, RHoS?, MFR, MFR#, Mounting , Pin Count#, Status, Tolerance, Type, Voltage, Wattage, Component-Value, Description, Date Modifed, Mounting, Componen-Value, RhoS?, Date Created , Designer , Pint Count#
U1,BQ24210DQCT,PCB_Footprints:BQ24210,http://www.ti.com/lit/ds/symlink/bq24210.pdf,1.46250 @ 1250,19 Aug 2016,19 Aug 2016,Adam Vadala-Roth,0.8mm,Yes,Texas Instruments,BQ24210DQCT,SMT/SMD,8,Active,N/A,Lithium Ion Battery Charge Controller Solar/USB,3.5-18VDC,N/A,N/A,IC BATT CHARGER LI-ION 10WSON,,,,,,,
C2,CL05A105KA5NQNC,PCB_Footprints:C0402,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL05A105KA5NQNC.pdf,0.05618 @ 5000,5 Sept 2016,,Adam Vadala-Roth,0.55mm,Yes,Samsung Electro-Mechanics America, Inc.,CL05A105KA5NQNC,,2,Active,10%,Ceramic Capacitor 0402,25V,N/A,,1µF 25V Ceramic Capacitor X5R 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm),5 Sept 2016,SMT/SMD,1uF,,,,
C3,CL10A106KQ8NNNC,PCB_Footprints:C0603,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL10A106KQ8NNNC.pdf,0.05145 @ 4000,5 Sept 2016,,Adam Vadala-Roth,0.90mm,Yes,Samsung Electro-Mechanics America, Inc.,CL10A106KQ8NNNC,,2,Active,10%,Ceramic Capacitor 0603,6.3V,N/A,,10µF 6.3V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm),5 Sept 2016,SMT/SMD,10uF,,,,
U2,AZ1117CR-3.3TRG1_1,PCB_Footprints:AZ1117CR-3.3TRG1,,0.08330 @ 5000,19 Aug 2016,19 Aug 2016,Adam Vadala-Roth,1.6mm,Yes,Diodes Inc,AZ1117CR-3.3TRG1,,4,Active,N/A,LDO Linear DC Voltage Regulator,3.7V input 3.3V Output,N/A,N/A,Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 800mA SOT-89,,SMT/SMD,,,,,
D1,BAT20JFILM,PCB_Footprints:BAT20JFILM,http://www.st.com/web/en/resource/technical/document/datasheet/CD00012201.pdf,0.09010 @ 6000,8 Sept 2016,8 Sept 2016,Adam Vadala-Roth,1.13mm,,STMicroelectronics,BAT20JFILM,,2,Active,N/A,Schottky Diode,N/A,N/A,N/A,Diode Schottky 23V 1A Surface Mount SOD-323,,SMT/SMD,,Yes,,,
Q2,DMG2307L-7,PCB_Footprints:DMG2307L-7,http://www.diodes.com/_files/datasheets/DMG2307L.pdf,0.08100 @ 3000,,8 Sept 2016,Adam Vadala-Roth,0.4mm,Yes,Diodes Incorporated,DMG2307L-7,,2,Active,N/A,MOSFET,30V,N/A,N/A,MOSFET P-CH 30V 2.5A SOT-23,,SMT/SMD,,,8 Sept 2016,,
R1,RC1005F4870CS,PCB_Footprints:R0402,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC_Series_ds.pdf,0.00257 @ 5000,5 Sept 2016,5 Sept 2016,Adam Vadala-Roth,0.4mm,Yes,Samsung Electro-Mechanics America, Inc.,RC1005F4870CS,,2,Active,1%,passive,N/A,1/16,487r,RES SMD 487 OHM 1% 1/16W 0402,,SMT/SMD,,,,,
LED2,LTST-C191KFKT,PCB_Footprints:LED0603,http://optoelectronics.liteon.com/upload/download/DS22-2000-228/S_110_LTST-C191KGKT.pdf,0.03760 @ 5000,8 Sept 2016,8 Sept 2016,Adam Vadala-Roth,0.55mm,,Lite-On Inc,LTST-C191KFKT,,2,Active,N/A,0603 LED,N/A,N/A,N/A,Orange 605nm LED Indication - Discrete 2V 0603 (1608 Metric),,SMT/SMD,,Yes,,,
LED1,LTST-C191KGKT,PCB_Footprints:LED0603,http://optoelectronics.liteon.com/upload/download/DS22-2000-228/S_110_LTST-C191KGKT.pdf,0.04040 @ 5000,8 Sept 2016,8 Sept 2016,Adam Vadala-Roth,0.55mm,,Lite-On Inc,LTST-C191KGKT,,2,Active,N/A,0603 LED,N/A,N/A,N/A,Green 571nm LED Indication - Discrete 2V 0603 (1608 Metric),,SMT/SMD,,Yes,,,
C1,CL05A105KA5NQNC,PCB_Footprints:C0402,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL05A105KA5NQNC.pdf,0.05618 @ 5000,5 Sept 2016,,Adam Vadala-Roth,0.55mm,Yes,Samsung Electro-Mechanics America, Inc.,CL05A105KA5NQNC,,2,Active,10%,Ceramic Capacitor 0402,25V,N/A,,1µF 25V Ceramic Capacitor X5R 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm),5 Sept 2016,SMT/SMD,1uF,,,,
Q1,DMG2307L-7,PCB_Footprints:DMG2307L-7,http://www.diodes.com/_files/datasheets/DMG2307L.pdf,0.08100 @ 3000,,8 Sept 2016,Adam Vadala-Roth,0.4mm,Yes,Diodes Incorporated,DMG2307L-7,,2,Active,N/A,MOSFET,30V,N/A,N/A,MOSFET P-CH 30V 2.5A SOT-23,,SMT/SMD,,,8 Sept 2016,,
